iter	Passed	Remaining
341	4020	13613
342	4032	13603
343	4045	13594
344	4057	13583
345	4069	13573
346	4081	13563
347	4094	13553
348	4106	13543
349	4119	13533
350	4131	13523
351	4143	13515
352	4156	13505
353	4168	13494
354	4180	13484
355	4193	13474
356	4205	13463
357	4217	13454
358	4230	13445
359	4242	13435
360	4255	13425
361	4267	13414
362	4279	13405
363	4291	13394
364	4304	13384
365	4316	13374
366	4328	13364
367	4340	13352
368	4353	13342
369	4365	13333
370	4377	13322
371	4389	13311
372	4402	13301
373	4414	13291
374	4427	13281
375	4439	13271
376	4451	13260
377	4463	13249
378	4475	13238
379	4488	13228
380	4500	13217
381	4511	13204
382	4523	13193
383	4535	13181
384	4547	13169
385	4558	13157
386	4571	13146
387	4582	13133
388	4594	13121
389	4605	13108
390	4617	13095
391	4628	13083
392	4640	13070
393	4652	13060
394	4665	13051
395	4677	13041
396	4690	13031
397	4702	13021
398	4715	13010
399	4727	12999
400	4738	12986
401	4750	12975
402	4763	12965
403	4775	12954
404	4787	12943
405	4799	12932
406	4811	12922
407	4823	12911
408	4836	12902
